,Symbol,Name,Industry,IndustryCode
121,MXIM,Maxim Integrated Products Inc,반도체 및 반도체 장비,571010
122,IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
123,WLTW,Willis Towers Watson PLC,보험,553010
124,SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
125,CDW,CDW Corp,소프트웨어 및 IT서비스,572010
126,FITB,Fifth Third Bancorp,은행,551010
127,VIAC,ViacomCBS Inc Class B,미디어 및 출판,533020
128,ENPH,Enphase Energy Inc,재생에너지,502010
129,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
130,VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
131,YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
132,ETSY,ETSY Inc,다양한 소매업,534020
133,CERN,Cerner Corp,헬스케어 장비 및 용품,561010
134,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
135,NTRS,Northern Trust Corp,투자은행 및 서비스,551020
136,XP,Xp Inc Class A,투자은행 및 서비스,551020
137,SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
138,MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
139,APP,Applovin Corp Class A,소프트웨어 및 IT서비스,572010
140,DLTR,Dollar Tree Inc,다양한 소매업,534020
141,RPRX,Royalty Pharma PLC Class A,제약,562010
142,HZNP,Horizon Therapeutics PLC,제약,562010
143,DISH,DISH Network Corp Class A,미디어 및 출판,533020
144,ZI,ZoomInfo Technologies Inc Class A,소프트웨어 및 IT서비스,572010
145,TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
146,QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
147,EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
148,TER,Teradyne Inc,반도체 및 반도체 장비,571010
149,ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
150,XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
151,TSCO,Tractor Supply Co,전문품 상점,534030
152,MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
153,HBAN,Huntington Bancshares Inc,은행,551010
154,TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
155,STX,Seagate Technology Holdings PLC,"컴퓨터, 전화 및 가전제품",571060
156,TTWO,Take-Two Interactive Software Inc,레저 상품,532050
157,WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
158,SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
159,DKNG,Draftkings Inc Class A,호텔 및 엔터테인먼트,533010
160,ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
161,TXG,10X Genomics Inc,헬스케어 장비 및 용품,561010
162,AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
163,Z,Zillow Group Inc Class C,부동산 운영 관리,601010
164,HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
165,CINF,Cincinnati Financial Corp,보험,553010
166,POOL,Pool Corp,레저 상품,532050
167,GRUB,Just Eat Takeaway.com NV ADR,소프트웨어 및 IT서비스,572010
168,WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
169,TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
170,LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
171,EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
172,ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
173,PODD,Insulet Corp,헬스케어 장비 및 용품,561010
174,LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
175,ULTA,Ulta Beauty Inc,전문품 상점,534030
176,MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
177,STNE,StoneCo Ltd Class A,핀테크,573010
178,CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
179,NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
180,JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
181,CG,Carlyle Group Inc,투자은행 및 서비스,551020
182,NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
183,INCY,Incyte Corp,생명과학 및 메디컬 리서치,562020
184,VTRS,Viatris Inc,제약,562010
185,AFRM,Affirm Holdings Inc Class A,소프트웨어 및 IT서비스,572010
186,BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
187,WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
188,CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
189,PFG,Principal Financial Group Inc,보험,553010
190,TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
191,ENTG,Entegris Inc,반도체 및 반도체 장비,571010
192,FUTU,Futu Holdings Ltd ADR,핀테크,573010
193,PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
194,COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
195,CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
196,ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
197,ACGL,Arch Capital Group Ltd,보험,553010
198,NUAN,Nuance Communications Inc,소프트웨어 및 IT서비스,572010
199,NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
200,LKQ,LKQ Corp,자동차 및 자동차 부품,531010
201,PTC,PTC Inc,소프트웨어 및 IT서비스,572010
202,PLUG,Plug Power Inc,재생에너지,502010
203,MASI,Masimo Corp,헬스케어 장비 및 용품,561010
204,UAL,United Airlines Holdings Inc,운송업,524060
205,ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
206,LNT,Alliant Energy Corp,전기 유틸리티,591010
207,IEP,Icahn Enterprises LP Unit,오일 및 가스,501020
208,XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
209,MQ,Marqeta Inc Class A,핀테크,573010
210,HTHT,Huazhu Group Ltd ADR,호텔 및 엔터테인먼트,533010
211,NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
212,BMRN,Biomarin Pharmaceutical Inc,제약,562010
213,OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
214,BZ,Kanzhun Ltd ADR,소프트웨어 및 IT서비스,572010
215,FANG,Diamondback Energy Inc,오일 및 가스,501020
216,ZLAB,Zai Lab Ltd ADR,제약,562010
217,SBNY,Signature Bank,은행,551010
218,HAS,Hasbro Inc,레저 상품,532050
219,FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
220,RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
221,NVAX,Novavax Inc,생명과학 및 메디컬 리서치,562020
222,SEDG,Solaredge Technologies Inc,재생에너지,502010
223,DLO,Dlocal Ltd Class A,전문 및 상업 서비스,522030
224,NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
225,WB,Weibo Corp ADR,미디어 및 출판,533020
226,AAL,American Airlines Group Inc,운송업,524060
227,JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
228,CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
229,STLD,Steel Dynamics Inc,메탈&마이닝,512010
230,DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
231,GDRX,Goodrx Holdings Inc Class A,소프트웨어 및 IT서비스,572010
232,SOFI,SoFi Technologies Inc,은행,551010
233,BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
234,FFIV,F5 Networks Inc,소프트웨어 및 IT서비스,572010
235,AXON,Axon Enterprise Inc,우주항공 및 국방,521010
236,IAC,IAC/Interactivecorp,소프트웨어 및 IT서비스,572010
237,CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
238,MCFE,Mcafee Corp Class A,소프트웨어 및 IT서비스,572010
239,IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
240,FOXA,Fox Corp Class A,미디어 및 출판,533020
241,HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
242,MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
243,UHAL,Amerco,화물 및 물류 서비스,524050
244,GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
245,WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
246,HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
247,GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
248,MORN,Morningstar Inc,전문 및 상업 서비스,522030
249,PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
250,LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
251,REG,Regency Centers Corp,주택 및 상업용 리츠,601020
252,OTLY,Oatly Group AB ADR,식품 및 담배,541020
253,ZNGA,Zynga Inc Class A,소프트웨어 및 IT서비스,572010
254,GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
255,FIVE,Five Below Inc,다양한 소매업,534020
256,LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
257,OLED,Universal Display Corp,반도체 및 반도체 장비,571010
258,CREE,Cree Inc,반도체 및 반도체 장비,571010
259,OZON,Ozon Holdings PLC ADR,다양한 소매업,534020
260,PENN,Penn National Gaming Inc,호텔 및 엔터테인먼트,533010
261,MIDD,Middleby Corp,가정용품,532040
262,LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
263,NWL,Newell Brands Inc,가정용품,532040
264,CFLT,Confluent Inc Class A,소프트웨어 및 IT서비스,572010
265,RUN,Sunrun Inc,재생에너지,502010
266,JAZZ,Jazz Pharmaceuticals PLC,제약,562010
267,PEGA,Pegasystems Inc,소프트웨어 및 IT서비스,572010
268,NTRA,Natera Inc,헬스케어 장비 및 용품,561010
269,UPST,Upstart Holdings Inc,은행,551010
270,MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
271,PFPT,Proofpoint Inc,소프트웨어 및 IT서비스,572010
272,DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
273,EWBC,East West Bancorp Inc,은행,551010
274,AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
275,NTLA,Intellia Therapeutics Inc,생명과학 및 메디컬 리서치,562020
276,LBTYK,Liberty Global PLC Class C,미디어 및 출판,533020
277,GLBE,Global-E Online Ltd,소프트웨어 및 IT서비스,572010
278,NWSA,News Corp Class A,미디어 및 출판,533020
279,BMBL,Bumble Inc Class A,소프트웨어 및 IT서비스,572010
280,FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
281,MNDY,Monday.Com Ltd,소프트웨어 및 IT서비스,572010
282,FSLR,First Solar Inc,재생에너지,502010
283,CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
284,CVAC,CureVac NV,생명과학 및 메디컬 리서치,562020
285,SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
286,NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
287,LFST,Lifestance Health Group Inc,헬스케어 업체 및 서비스,561020
288,OPEN,Opendoor Technologies Inc Class A,부동산 운영 관리,601010
289,PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
290,DISCK,Discovery Inc Series C,미디어 및 출판,533020
291,IQ,iQIYI Inc ADR,소프트웨어 및 IT서비스,572010
292,CONE,CyrusOne Inc,주택 및 상업용 리츠,601020
293,ARCC,Ares Capital Corp,다양한 금융서비스,555010
294,FLEX,Flex Ltd,전자 장비 및 부품,571040
295,MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
296,SEIC,SEI Investments Co,투자은행 및 서비스,551020
297,ERIE,Erie Indemnity Co Class A,보험,553010
298,CROX,Crocs Inc,섬유 및 의류,532020
299,ZION,Zions Bancorporation NA,은행,551010
300,CNXC,Concentrix Corp,전문 및 상업 서비스,522030
301,AMED,Amedisys Inc,헬스케어 업체 및 서비스,561020
302,FOX,Fox Corp Class B,미디어 및 출판,533020
303,AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
304,CACC,Credit Acceptance Corp,은행,551010
305,FSV,FirstService Corp,부동산 운영 관리,601010
306,MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
307,CBSH,Commerce Bancshares Inc,은행,551010
308,GNTX,Gentex Corp,자동차 및 자동차 부품,531010
309,LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
310,APPN,Appian Corp Class A,소프트웨어 및 IT서비스,572010
311,UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
312,FATE,Fate Therapeutics Inc,생명과학 및 메디컬 리서치,562020
313,CRCT,Cricut Inc Class A,전문품 상점,534030
314,TSP,TuSimple Holdings Inc Class A,통합 하드웨어 및 소프트웨어,571070
315,ARVL,Arrival SA,기타 금융업,556010
316,RGLD,Royal Gold Inc,메탈&마이닝,512010
317,BYND,Beyond Meat Inc,식품 및 담배,541020
318,BBIO,BridgeBio Pharma Inc,제약,562010
319,LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
320,WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
321,MAT,Mattel Inc,레저 상품,532050
322,NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
323,XLRN,Acceleron Pharma Inc,생명과학 및 메디컬 리서치,562020
324,HCM,HUTCHMED (China) Ltd ADR,제약,562010
325,CGC,Canopy Growth Corp,제약,562010
326,LZ,LegalZoom.com Inc,소프트웨어 및 IT서비스,572010
327,ZG,Zillow Group Inc Class A,부동산 운영 관리,601010
328,CASY,Caseys General Stores Inc,식품 및 약품소매,543010
329,IIVI,II-VI Inc,전자 장비 및 부품,571040
330,EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
331,CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
332,VMEO,Vimeo Inc,소프트웨어 및 IT서비스,572010
333,TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
334,ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
335,PAA,Plains All American Pipeline LP,오일 및 가스 장비 및 서비스,501030
336,SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
337,KC,Kingsoft Cloud Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
338,APA,APA Corp (US),오일 및 가스,501020
339,NEGG,Newegg Commerce Inc,소프트웨어 및 IT서비스,572010
340,CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
341,FFIN,First Financial Bankshares Inc,은행,551010
342,FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
343,PNFP,Pinnacle Financial Partners Inc,은행,551010
344,DOOO,BRP Inc,레저 상품,532050
345,COLM,Columbia Sportswear Co,섬유 및 의류,532020
346,LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
347,FOXF,Fox Factory Holding Corp,자동차 및 자동차 부품,531010
348,PBCT,People's United Financial Inc,은행,551010
349,TNDM,Tandem Diabetes Care Inc,헬스케어 장비 및 용품,561010
350,UPWK,Upwork Inc,전문 및 상업 서비스,522030
351,SHC,Sotera Health Co,헬스케어 업체 및 서비스,561020
352,BL,Blackline Inc,소프트웨어 및 IT서비스,572010
353,WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
354,TLRY,Tilray Inc,제약,562010
355,BRKS,Brooks Automation Inc,반도체 및 반도체 장비,571010
356,SRCL,Stericycle Inc,전문 및 상업 서비스,522030
357,MLCO,Melco Resorts & Entertainment Ltd ADR,호텔 및 엔터테인먼트,533010
358,ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
359,VRNS,Varonis Systems Inc,소프트웨어 및 IT서비스,572010
360,LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
361,WISH,ContextLogic Inc Class A,소프트웨어 및 IT서비스,572010
362,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
363,JCOM,j2 Global Inc,소프트웨어 및 IT서비스,572010
364,RPD,Rapid7 Inc,소프트웨어 및 IT서비스,572010
365,LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
366,OMCL,Omnicell Inc,헬스케어 장비 및 용품,561010
367,NXST,Nexstar Media Group Inc Class A,미디어 및 출판,533020
368,MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
369,LAZR,Luminar Technologies Inc Class A,전자 장비 및 부품,571040
370,LEGN,Legend Biotech Corp ADR,생명과학 및 메디컬 리서치,562020
371,MSTR,Microstrategy Inc Class A,소프트웨어 및 IT서비스,572010
372,FRPT,Freshpet Inc,식품 및 담배,541020
373,PACB,Pacific Biosciences of California Inc,헬스케어 장비 및 용품,561010
374,NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
375,HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
376,AVGOP,Broadcom Inc Convertible Preference Shares Series A,반도체 및 반도체 장비,571010
377,AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
378,NCNO,nCino Inc,소프트웨어 및 IT서비스,572010
379,DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
380,DNLI,Denali Therapeutics Inc,생명과학 및 메디컬 리서치,562020
381,APPS,Digital Turbine Inc,소프트웨어 및 IT서비스,572010
382,WOOF,Petco Health and Wellness Company Inc Class A,전문품 상점,534030
383,RDFN,Redfin Corp,부동산 운영 관리,601010
384,KRNT,Kornit Digital Ltd,"건설장비 및 대형차, 기차, 배",521020
385,SGMS,Scientific Games Corp,호텔 및 엔터테인먼트,533010
386,COHR,Coherent Inc,전자 장비 및 부품,571040
387,STAA,STAAR Surgical Co,헬스케어 장비 및 용품,561010
388,IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
389,CAR,Avis Budget Group Inc,운송업,524060
390,STMP,Stamps.Com Inc,소프트웨어 및 IT서비스,572010
391,OLLI,Ollie's Bargain Outlet Holdings Inc,다양한 소매업,534020
392,SWAV,Shockwave Medical Inc,헬스케어 장비 및 용품,561010
393,QDEL,Quidel Corp,헬스케어 장비 및 용품,561010
394,LSTR,Landstar System Inc,화물 및 물류 서비스,524050
395,SFIX,Stitch Fix Inc Class A,소프트웨어 및 IT서비스,572010
396,SAIA,Saia Inc,화물 및 물류 서비스,524050
397,INOV,Inovalon Holdings Inc Class A,소프트웨어 및 IT서비스,572010
398,DCT,Duck Creek Technologies Inc,소프트웨어 및 IT서비스,572010
399,REYN,Reynolds Consumer Products Inc,가정용품,532040
400,RCM,R1 RCM Inc,헬스케어 업체 및 서비스,561020
401,BOKF,BOK Financial Corp,은행,551010
402,ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
403,PAAS,Pan American Silver Corp,메탈&마이닝,512010
404,BPOP,Popular Inc,은행,551010
405,POWI,Power Integrations Inc,반도체 및 반도체 장비,571010
406,NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
407,SLM,SLM Corp,은행,551010
408,CDK,CDK Global Inc,소프트웨어 및 IT서비스,572010
409,IMAB,I-Mab ADR,제약,562010
410,HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
411,ANGI,Angi Inc Class A,소프트웨어 및 IT서비스,572010
412,ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020
413,TWST,Twist Bioscience Corp,제약,562010
414,ESGR,Enstar Group Ltd,보험,553010
415,BEAM,Beam Therapeutics Inc,생명과학 및 메디컬 리서치,562020
416,CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
417,EXPO,Exponent Inc,전문 및 상업 서비스,522030
418,CIGI,Colliers International Group Inc,부동산 운영 관리,601010
419,ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
420,IRDM,Iridium Communications Inc,통신 서비스,574010
421,SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
